"filename", "language", "Dart", "JSON", "C++", "HTML", "YAML", "Swift", "Markdown", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\src\flutterApps\Project-Mercury\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, -7, -17
"c:\src\flutterApps\Project-Mercury\analysis_options.yaml", "YAML", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -23, -4, -30
"c:\src\flutterApps\Project-Mercury\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -54, 0, -3, -13, -70
"c:\src\flutterApps\Project-Mercury\android\app\google-services.json", "JSON", 0, -46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -46
"c:\src\flutterApps\Project-Mercury\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -3, -1, -8
"c:\src\flutterApps\Project-Mercury\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -6, -1, -35
"c:\src\flutterApps\Project-Mercury\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\src\flutterApps\Project-Mercury\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -7, -2, -13
"c:\src\flutterApps\Project-Mercury\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\src\flutterApps\Project-Mercury\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -9, -1, -19
"c:\src\flutterApps\Project-Mercury\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -3, -1, -8
"c:\src\flutterApps\Project-Mercury\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, -5, -33
"c:\src\flutterApps\Project-Mercury\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"c:\src\flutterApps\Project-Mercury\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -1, -1, -7
