Date : 2023-01-13 08:33:09
Directory : c:\src\flutterApps\Project-Mercury\lib
Total : 84 files,  3811 codes, 639 comments, -179 blanks, all 4271 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         46 |      4,831 |        859 |         23 |      5,713 |
| Properties |          2 |         -8 |         -1 |         -2 |        -11 |
| Swift      |          1 |        -12 |          0 |         -2 |        -14 |
| Markdown   |          2 |        -13 |          0 |         -9 |        -22 |
| YAML       |          2 |        -40 |        -72 |        -12 |       -124 |
| HTML       |          1 |        -80 |        -18 |         -7 |       -105 |
| Groovy     |          3 |        -90 |         -3 |        -22 |       -115 |
| XML        |          9 |       -123 |        -46 |        -11 |       -180 |
| JSON       |          7 |       -243 |          0 |         -5 |       -248 |
| C++        |         11 |       -411 |        -80 |       -132 |       -623 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         84 |      3,811 |        639 |       -179 |      4,271 |
| . (Files)                                                                                        |          1 |          0 |          2 |          0 |          2 |
| ..                                                                                               |         39 |     -1,034 |       -230 |       -209 |     -1,473 |
| .. (Files)                                                                                       |          5 |        -60 |        -72 |        -21 |       -153 |
| ..\android                                                                                       |         13 |       -206 |        -48 |        -33 |       -287 |
| ..\android (Files)                                                                               |          3 |        -39 |          0 |        -10 |        -49 |
| ..\android\app                                                                                   |          9 |       -162 |        -47 |        -22 |       -231 |
| ..\android\app (Files)                                                                           |          2 |       -100 |         -3 |        -13 |       -116 |
| ..\android\app\src                                                                               |          7 |        -62 |        -44 |         -9 |       -115 |
| ..\android\app\src\debug                                                                         |          1 |         -4 |         -3 |         -1 |         -8 |
| ..\android\app\src\main                                                                          |          5 |        -54 |        -38 |         -7 |        -99 |
| ..\android\app\src\main (Files)                                                                  |          1 |        -28 |         -6 |         -1 |        -35 |
| ..\android\app\src\main\res                                                                      |          4 |        -26 |        -32 |         -6 |        -64 |
| ..\android\app\src\main\res\drawable                                                             |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\android\app\src\main\res\drawable-v21                                                         |          1 |         -4 |         -7 |         -2 |        -13 |
| ..\android\app\src\main\res\values                                                               |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\android\app\src\main\res\values-night                                                         |          1 |         -9 |         -9 |         -1 |        -19 |
| ..\android\app\src\profile                                                                       |          1 |         -4 |         -3 |         -1 |         -8 |
| ..\android\gradle                                                                                |          1 |         -5 |         -1 |         -1 |         -7 |
| ..\android\gradle\wrapper                                                                        |          1 |         -5 |         -1 |         -1 |         -7 |
| ..\ios                                                                                           |          8 |       -229 |         -2 |         -9 |       -240 |
| ..\ios (Files)                                                                                   |          1 |         -7 |          0 |          0 |         -7 |
| ..\ios\Runner                                                                                    |          7 |       -222 |         -2 |         -9 |       -233 |
| ..\ios\Runner (Files)                                                                            |          2 |        -13 |          0 |         -3 |        -16 |
| ..\ios\Runner\Assets.xcassets                                                                    |          3 |       -148 |          0 |         -4 |       -152 |
| ..\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                 |          1 |       -122 |          0 |         -1 |       -123 |
| ..\ios\Runner\Assets.xcassets\LaunchImage.imageset                                               |          2 |        -26 |          0 |         -3 |        -29 |
